Nickname,Age,Gender,PreferenceClassicalMusic,MusicComposition,I have never been complemented for my talents as a musical performer.,I would not consider myself as a musician,"I engaged in regular, daily practice of a musical instrument (including voice) for ___ years.","At the peak of my interest, I practiced ___ hours per day on my primary instrument.",I have had formal training in music theory for __ years,I have had __ years of formal training on a musical instrument (including voice) during my lifetime.,I can play ___ musical instruments,GoldsmithMSI
urg10724,24,Female,sometimes,No,5,4,5,3,5,5,3,30
jen5423,23,Female,sometimes,No,7,1,1,2,4,1,2,18
rst1903,26,Female,I like it,No,7,4,7,5,6,6,3,38
ink6170,22,Female,I like it,No,5,4,2,3,3,3,3,23
its2058,22,Male,not really,No,2,1,2,3,3,3,2,16
orn58382,25,Male,I like it very much,No,5,1,1,2,3,3,1,16
kim13850,21,Male,sometimes,"Yes, sometimes",5,7,6,4,3,6,3,34
ain467,64,Male,sometimes,"Yes, sometimes",4,2,1,1,1,1,1,11
STA10701,22,Male,I like it,No,5,5,6,3,4,7,2,32
ver368,24,Male,sometimes,No,2,2,4,4,3,5,2,22
nez7762,22,Male,not really,"Yes, sometimes",3,5,6,5,6,1,3,29
kov5365,25,Male,I like it very much,No,7,7,6,4,2,6,2,34
olt5097,24,Female,not really,No,1,1,1,2,1,1,1,8
Ssen5550,22,Male,I like it,"Yes, very often",6,6,7,6,7,7,3,42
art283,23,Male,I like it,No,5,4,5,3,3,4,2,26
ove2298,21,Male,sometimes,No,6,5,7,2,1,7,2,30
sen6791,22,Male,sometimes,No,5,5,6,5,6,5,3,35
ift7967,23,Male,I like it,"Yes, sometimes",5,4,1,1,1,1,2,15
das640461,22,Male,sometimes,"Yes, sometimes",6,5,6,4,7,6,6,40
sel1224,24,Male,sometimes,"Yes, very often",6,7,3,5,1,1,2,25
ata3832,44,Female,I like it very much,"Yes, sometimes",7,7,7,5,6,7,4,43
ann1755,24,Other/Do not want to share,I like it very much,No,4,3,6,1,1,6,3,24
len7701,23,Male,I like it very much,"Yes, very often",7,7,7,4,7,7,3,42
ven31213,23,Male,I like it very much,No,7,6,7,1,1,7,2,31
ORN2520,25,Female,I like it very much,No,3,1,1,1,1,3,2,12
Som9k3515,25,Male,I like it,No,7,3,5,3,6,5,2,31
ngs1382,23,Male,not really,No,4,3,1,3,1,1,2,15
