,author,sample,style_prediction,style_confidence,player_prediction,melody_rating,rhythm_rating,audio_rating,actual_player,original_style,transferred_style,correct_prediction
0,kim13850,52,2,2,4,10,9,1,5,3,2,1
1,kim13850,4,1,1,1,7,10,10,1,1,1,1
2,kim13850,6,2,1,1,10,10,10,1,2,2,1
3,kim13850,49,1,5,5,0,0,0,5,3,1,1
4,kim13850,4,1,1,2,8,8,9,1,1,1,1
5,kim13850,56,3,2,2,10,8,4,5,3,3,1
6,kim13850,32,1,2,5,4,5,3,5,2,1,1
7,kim13850,11,3,1,1,10,10,10,1,3,3,1
8,kim13850,19,1,2,2,9,5,8,5,1,1,1
9,kim13850,23,2,1,5,8,4,3,5,1,2,1
10,ver368,42,2,4,2,4,6,5,5,2,3,0
11,ver368,27,1,4,3,3,4,6,5,1,3,0
12,ver368,6,1,2,4,9,7,6,1,2,2,0
13,ver368,47,3,3,3,4,7,4,5,3,1,0
14,ver368,34,1,2,4,8,6,6,5,2,1,1
15,ver368,23,2,4,3,4,3,2,5,1,2,1
16,ver368,43,3,4,3,5,4,6,5,2,3,1
17,ver368,4,2,2,3,9,7,8,1,1,1,0
18,ver368,3,2,3,3,8,7,8,1,1,1,0
19,ver368,29,1,4,3,7,7,4,5,1,3,0
20,urg10724,43,3,1,4,6,3,5,5,2,3,1
21,urg10724,31,1,2,5,1,3,2,5,2,1,1
22,urg10724,15,1,1,1,8,8,8,5,1,1,1
23,urg10724,7,2,1,2,8,9,8,1,2,2,1
24,urg10724,26,3,2,5,4,3,4,5,1,3,1
25,urg10724,45,1,1,3,5,5,4,5,3,1,1
26,urg10724,24,1,4,4,5,3,1,5,1,2,0
27,urg10724,47,1,1,2,6,7,5,5,3,1,1
28,urg10724,38,2,1,2,9,7,7,5,2,2,1
29,urg10724,29,3,3,3,5,2,2,5,1,3,1
30,sel1224,51,3,4,5,1,1,1,5,3,2,0
31,sel1224,17,1,1,1,7,7,6,5,1,1,1
32,sel1224,45,1,3,4,5,5,5,5,3,1,1
33,sel1224,13,3,1,1,8,8,6,1,3,3,1
34,sel1224,0,1,1,1,7,7,6,1,1,1,1
35,sel1224,52,2,1,4,6,6,4,5,3,2,1
36,sel1224,47,1,1,3,5,5,4,5,3,1,1
37,sel1224,6,2,1,1,7,7,5,1,2,2,1
38,sel1224,53,2,1,5,7,7,5,5,3,2,1
39,sel1224,15,1,1,2,7,7,5,5,1,1,1
40,ink6170,14,2,4,2,9,9,7,1,3,3,0
41,ink6170,7,2,1,4,5,6,7,1,2,2,1
42,ink6170,34,1,1,5,3,2,3,5,2,1,1
43,ink6170,59,3,2,2,9,7,3,0,0,0,0
44,ink6170,34,1,1,5,2,3,2,5,2,1,1
45,ink6170,9,2,1,2,7,8,5,1,2,2,1
46,ink6170,18,1,1,4,4,4,6,5,1,1,1
47,ink6170,23,2,1,5,1,1,3,5,1,2,1
48,ink6170,43,3,2,4,2,2,4,5,2,3,1
49,ink6170,24,2,3,5,1,2,3,5,1,2,1
50,oek3760,17,1,1,2,9,9,7,5,1,1,1
51,oek3760,6,2,1,1,9,9,8,1,2,2,1
52,oek3760,14,3,1,1,9,9,7,1,3,3,1
53,oek3760,20,2,4,5,4,5,4,5,1,2,1
54,oek3760,47,1,2,4,7,7,3,5,3,1,1
55,oek3760,54,2,2,4,5,6,3,5,3,2,1
56,oek3760,49,1,2,5,2,3,2,5,3,1,1
57,oek3760,39,2,1,3,7,7,2,5,2,2,1
58,oek3760,9,2,1,1,9,9,8,1,2,2,1
